Clave de incidencia,Resumen,Tipo,Estado,Cobertura Fleetbase (%),Estado Cobertura,Análisis de Cobertura,Requerimientos Adicionales
LIPU-144,Front - Pantalla Clientes Accion Detalles Vista Operadores,Subtarea,Tareas por hacer,60%,Parcial,"Fleetbase tiene tablas de drivers (conductores/operadores) con información básica. Falta: asociación específica con clientes, tracking de licencias vencidas, integración RH",Crear relación clientes-operadores; Sistema alertas licencias; Integración RH Corporativo
LIPU-143,Front - Pantalla Clientes Accion Detalles Vista Unidades,Subtarea,Tareas por hacer,80%,Alta,"Fleetbase tiene gestión completa de vehicles con placas, VIN, marca/modelo. Existe relación con companies (clientes). Solo falta: personalización vista específica",Adaptar UI para mostrar unidades por cliente
LIPU-142,Front - Pantalla Clientes Accion Detalles Vista Plantas,Subtarea,Tareas por hacer,70%,Alta,"Fleetbase tiene tabla 'places' para ubicaciones. Falta: concepto específico de 'planta' como tipo de place, relación con clientes",Extender modelo places con tipo 'plant'; Relacionar con customers
LIPU-141,Front - Pantalla Clientes Accion Detalles Vista Datos Generales,Subtarea,Tareas por hacer,85%,Alta,"Fleetbase tiene modelo completo de contacts/vendors que puede usarse para clientes. Incluye: nombre, email, phone, address. Falta: campos específicos como RFC, razón social",Agregar campos custom para México (RFC, razón social, tipo cliente)
LIPU-140,Front - Pantalla Clientes Paginacion en Tabla,Subtarea,Tareas por hacer,100%,Completa,Fleetbase incluye paginación estándar en todas las tablas del sistema. Implementado en API y frontend,Ninguno - Ya implementado
LIPU-139,Front - Pantalla Clientes Tabla Export Button,Subtarea,Tareas por hacer,100%,Completa,Fleetbase tiene funcionalidad de exportación integrada en múltiples formatos (CSV/Excel),Ninguno - Ya implementado
LIPU-138,Front - Pantalla Clientes Search y Filtros en Tabla,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase incluye sistema robusto de búsqueda y filtros en todas las tablas, con saved_filters para guardar búsquedas",Ninguno - Ya implementado
LIPU-137,Front - Pantalla Clientes Tabla,Subtarea,Tareas por hacer,95%,Completa,"Fleetbase tiene componentes de tabla completos con ordenamiento, selección múltiple, acciones en masa",Personalizar columnas específicas para clientes LiPU
LIPU-136,Front - Pantalla Clientes KPIs Cards,Subtarea,Tareas por hacer,80%,Alta,"Fleetbase tiene sistema de dashboards y widgets personalizables. Falta: KPIs específicos de clientes (total, activos, etc.)",Crear widgets custom para KPIs de clientes
LIPU-135,Pruebas de Integración y Validación,Subtarea,Tareas por hacer,90%,Alta,"Fleetbase tiene suite de tests, webhooks para integraciones. Falta: tests específicos para Salesforce",Crear tests de integración Salesforce
LIPU-134,Implementación de Cliente de Salesforce,Subtarea,En curso,40%,Parcial,"Fleetbase tiene sistema de integraciones extensible. Falta: cliente específico Salesforce, mapeo de campos",Desarrollar extensión Salesforce; Implementar sincronización bidireccional
LIPU-133,Backend - Obtener los permisos de cada vista,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene sistema IAM completo con roles, policies, permissions por recurso y acción (CRUD)",Ninguno - Ya implementado
LIPU-132,Frontend - Vista general,Subtarea,En curso,95%,Completa,"Fleetbase tiene arquitectura frontend completa en Ember.js con componentes reutilizables, routing, estados",Adaptar componentes a diseño LiPU
LIPU-131,Frontend - Contenedor de permisos por vista,Subtarea,Tareas por hacer,100%,Completa,Fleetbase tiene UI para gestionar permisos por rol y recurso con matriz de permisos,Ninguno - Ya implementado
LIPU-130,Backend - Registro de bitacoras,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene tabla 'activity' para auditoría completa de todas las acciones (log_name, description, properties, causer, subject)",Ninguno - Ya implementado
LIPU-129,Backend - Asignacion de los permisos por Rol/Vista,Subtarea,Tareas por hacer,100%,Completa,Fleetbase implementa RBAC completo con role_has_permissions y políticas granulares,Ninguno - Ya implementado
LIPU-128,Back - Endpoints CRUD Contratos,Subtarea,Tareas por hacer,60%,Parcial,"Fleetbase no tiene tabla específica 'contratos'. Tiene service_quotes, invoices. Falta: modelo contrato con vigencias, anexos",Crear modelo Contract; Relacionar con customers y services; Alertas vencimiento
LIPU-127,DB - Creación de Modelo de Datos (Contratos),Subtarea,Tareas por hacer,50%,Parcial,"Fleetbase tiene infraestructura para relaciones complejas. Falta: diseño específico modelo contratos con: vigencia, tipo, monto, plantas asociadas",Diseñar esquema contratos; Migraciones PostgreSQL
LIPU-126,Frontend - Crear Vista agregar,Subtarea,Tareas por hacer,90%,Alta,"Fleetbase tiene formularios modales reutilizables, validaciones, manejo de estados",Adaptar formularios a campos específicos
LIPU-125,Frontend - Crear vista de detalles de usuario,Subtarea,Tareas por hacer,95%,Completa,"Fleetbase tiene vista completa de usuario con: perfil, roles, permisos, actividad, sesiones",Personalizar según requerimientos LiPU
LIPU-124,Frontend - Crear componentes de inputs,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene librería completa de componentes: text, select, date, file upload, autocomplete",Ninguno - Ya implementado
LIPU-123,Back - Sincronización de Catálogos con Salesforce,Subtarea,Tareas por hacer,40%,Parcial,"Fleetbase tiene webhooks y API para integraciones. Falta: sincronización específica Salesforce, manejo de conflictos",Implementar sincronización bidireccional; Resolver conflictos; Logs sincronización
LIPU-122,Frontend - Modal general con su contenido,Subtarea,Tareas por hacer,100%,Completa,Fleetbase tiene componentes modales reutilizables con diferentes tamaños y opciones,Ninguno - Ya implementado
